Title,Company,Location,Link,Posted
Assistant/Deputy Manager - Sales,Mahindra Group,"Bhubaneshwar, Odisha, India",https://in.linkedin.com/jobs/view/assistant-deputy-manager-sales-at-mahindra-group-4193467335?position=32&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=46mzVbi%2BC%2FR1vKhGJfHAhw%3D%3D,3 weeks ago
Operations/ Procurement Associate,Nexus Power,"Bhubaneswar, Odisha, India",https://in.linkedin.com/jobs/view/operations-procurement-associate-at-nexus-power-4204970823?position=33&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=y%2B%2BZql%2FwXhBR%2FVfvcbwz1A%3D%3D,1 week ago
Executive Assistant,HB+,"Bhubaneswar, Odisha, India",https://in.linkedin.com/jobs/view/executive-assistant-at-hb%2B-4182552934?position=34&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=INQlQcVjDxny5NQYBxPobw%3D%3D,1 month ago
Senior Agency Manager,Aditya Birla Capital,"Bhubaneswar, Odisha, India",https://in.linkedin.com/jobs/view/senior-agency-manager-at-aditya-birla-capital-4207123871?position=35&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=1UzQdFAl3DLg49p%2FUxYkdQ%3D%3D,1 week ago
Deputy/Assistant Manager - Sales,Mahindra Group,"Bhubaneshwar, Odisha, India",https://in.linkedin.com/jobs/view/deputy-assistant-manager-sales-at-mahindra-group-4204950248?position=36&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=abE5%2BdNdcnEOsT2U06qS%2FA%3D%3D,1 week ago
Production Agent - L1,Wipro,"Bhubaneswar, Odisha, India",https://in.linkedin.com/jobs/view/production-agent-l1-at-wipro-4206463483?position=37&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=yhIkCb3xgKNAxboRwij3Qg%3D%3D,1 week ago
Relationship Manager-Loan Against Property,IDFC FIRST Bank,"Bhubaneswar, Odisha, India",https://in.linkedin.com/jobs/view/relationship-manager-loan-against-property-at-idfc-first-bank-4151580255?position=38&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=jL%2FAjYqwJ9tcOXW%2BXIunBw%3D%3D,4 days ago
Strength and Conditioning Coach,HB+,"Bhubaneswar, Odisha, India",https://in.linkedin.com/jobs/view/strength-and-conditioning-coach-at-hb%2B-4154799301?position=39&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=ZcB1ke%2BP4PU%2F7GMH6xP9%2BA%3D%3D,2 months ago
DM Fashion,Reliance Retail,"Bhubaneswar, Odisha, India",https://in.linkedin.com/jobs/view/dm-fashion-at-reliance-retail-4210495065?position=40&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=%2FRimPzTgqcaaClU%2B2%2Fbnaw%3D%3D,5 days ago
Executive Housekeeper,Lyfe Hotels & Resorts,"Bhubaneswar, Odisha, India",https://in.linkedin.com/jobs/view/executive-housekeeper-at-lyfe-hotels-resorts-4060211544?position=41&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=UCNYNtBt1%2F1KvbzXbANdsw%3D%3D,5 months ago
Flight Operations - First Officer,Victoria University Sydney,"Bhubaneswar, Odisha, India",https://in.linkedin.com/jobs/view/flight-operations-first-officer-at-victoria-university-sydney-4069838529?position=42&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=EiC%2FxQkEW30KT0mR%2FGAo0Q%3D%3D,5 months ago
Territory Sales Manager (TSM),Tata Motors,"Bhubaneswar, Odisha, India",https://in.linkedin.com/jobs/view/territory-sales-manager-tsm-at-tata-motors-4158156466?position=43&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=gtb4tUE%2BI4KGDPDh7Ky%2B%2Fw%3D%3D,2 months ago
Project Manager,Jio,"Bhubaneswar, Odisha, India",https://in.linkedin.com/jobs/view/project-manager-at-jio-4207307759?position=44&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=4IHwh0Op6E4SPwiQzD6EqA%3D%3D,1 month ago
Concierge Porter/Bell Boy,Lyfe Hotels & Resorts,"Bhubaneswar, Odisha, India",https://in.linkedin.com/jobs/view/concierge-porter-bell-boy-at-lyfe-hotels-resorts-4060208723?position=45&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=Pmq03HRdsao79pk7cGKqow%3D%3D,5 months ago
Territory Manager - Sales,Schwing Stetter India,"Bhubaneswar, Odisha, India",https://in.linkedin.com/jobs/view/territory-manager-sales-at-schwing-stetter-india-4132545121?position=46&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=F1Qg9dmDjCG%2BLhXH8UPwLg%3D%3D,2 months ago
"Customer Care Executive - Janasamruddhi, Bhubaneswar",VIHU,"Bhubaneswar, Odisha, India",https://in.linkedin.com/jobs/view/customer-care-executive-janasamruddhi-bhubaneswar-at-vihu-4209643250?position=47&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=JL%2BabKDEqQ0G9EfaT2PjuQ%3D%3D,1 week ago
OSP Drafter,QuadGen,"Bhubaneswar, Odisha, India",https://in.linkedin.com/jobs/view/osp-drafter-at-quadgen-4170247558?position=48&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=XySnYtNPKQd9YJTi%2FSiyMg%3D%3D,1 month ago
Area Sales Manager (GT Sales- Signature Outlet),Reliance Retail,"Bhubaneswar, Odisha, India",https://in.linkedin.com/jobs/view/area-sales-manager-gt-sales-signature-outlet-at-reliance-retail-4211156243?position=49&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=X1WYE59JTAaJ6qS4Se9UMQ%3D%3D,5 days ago
WHS Manager-I,Amazon,"Bhubaneshwar, Odisha, India",https://in.linkedin.com/jobs/view/whs-manager-i-at-amazon-4189647594?position=50&pageNum=0&refId=QD4fgM5VYhrZmZp9f5iGaA%3D%3D&trackingId=LujhnzaLDCqT%2FuPixq6JAA%3D%3D,1 week ago
